PlzOrtID;Plz;Ort;Bundesland
1;01067;Dresden;Sachsen
2;01069;Dresden;Sachsen
3;01097;Dresden;Sachsen
4;01099;Dresden;Sachsen
5;01108;Dresden;Sachsen
6;01109;Dresden;Sachsen
7;01127;Dresden;Sachsen
8;01129;Dresden;Sachsen
9;01139;Dresden;Sachsen
10;01156;Dresden;Sachsen
11;01157;Dresden;Sachsen
12;01159;Dresden;Sachsen
13;01169;Dresden;Sachsen
14;01187;Dresden;Sachsen
15;01189;Dresden;Sachsen
16;01217;Dresden;Sachsen
17;01219;Dresden;Sachsen
18;01237;Dresden;Sachsen
19;01239;Dresden;Sachsen
20;01257;Dresden;Sachsen
21;01259;Dresden;Sachsen
22;01277;Dresden;Sachsen
23;01279;Dresden;Sachsen
24;01307;Dresden;Sachsen
25;01309;Dresden;Sachsen
26;01324;Dresden;Sachsen
27;01326;Dresden;Sachsen
28;01328;Dresden;Sachsen
29;01445;Radebeul;Sachsen
30;01454;Großerkmannsdorf;Sachsen
31;01454;Radeberg;Sachsen
32;01454;Ullersdorf;Sachsen
33;01454;Wachau;Sachsen
34;01458;Ottendorf-Okrilla;Sachsen
35;01462;Cossebaude;Sachsen
36;01462;Cossebaude;Sachsen
37;01462;Gohlis;Sachsen
38;01462;Gohlis;Sachsen
39;01462;Niederwartha;Sachsen
40;01462;Niederwartha;Sachsen
41;01465;Langebrück;Sachsen
42;01465;Langebrück;Sachsen
43;01465;Liegau-Augustusbad;Sachsen
44;01465;Schönborn;Sachsen
45;01465;Schönborn;Sachsen
46;01468;Kurort Volkersdorf;Sachsen
47;01468;Moritzburg;Sachsen
48;01468;Reichenberg;Sachsen
49;01471;Bärnsdorf;Sachsen
50;01471;Berbisdorf;Sachsen
51;01471;Großdittmannsdorf;Sachsen
52;01471;Radeburg;Sachsen
53;01471;Steinbach b Moritzburg;Sachsen
54;01477;Arnsdorf;Sachsen
55;01477;Fischbach;Sachsen
56;01477;Kleinwolmsdorf;Sachsen
57;01477;Wallroda;Sachsen
58;01558;Großenhain;Sachsen
59;01561;Adelsdorf;Sachsen
60;01561;Bauda;Sachsen
61;01561;Blochwitz;Sachsen
